Country_Region,Province_State,ISO3,Last_Update,Active,Confirmed,Deaths,Incident_Rate,Latitude,Longitude,Mortality_Rate,Recovered,UID
India,Global,IND,2020-01-01 00:00:00,740,1072,10,1.22,20.5937,78.9629,0.93,322,1
India,Global,IND,2020-01-02 00:00:00,1580,2292,21,2.61,20.5937,78.9629,0.92,691,2
India,Global,IND,2020-01-03 00:00:00,2488,3619,33,4.12,20.5937,78.9629,0.91,1098,3
India,Global,IND,2020-01-04 00:00:00,3449,5028,45,5.72,20.5937,78.9629,0.89,1534,4
India,Global,IND,2020-01-05 00:00:00,4515,6599,59,7.5,20.5937,78.9629,0.89,2025,5
India,Global,IND,2020-01-06 00:00:00,5636,8258,74,9.39,20.5937,78.9629,0.9,2548,6
India,Global,IND,2020-01-07 00:00:00,6832,10035,90,11.41,20.5937,78.9629,0.9,3113,7
India,Global,IND,2020-01-08 00:00:00,8106,11937,108,13.58,20.5937,78.9629,0.9,3723,8
India,Global,IND,2020-01-09 00:00:00,9559,14111,127,16.05,20.5937,78.9629,0.9,4425,9
India,Global,IND,2020-01-10 00:00:00,11059,16368,148,18.62,20.5937,78.9629,0.9,5161,10
India,Global,IND,2020-01-11 00:00:00,12627,18735,169,21.31,20.5937,78.9629,0.9,5939,11
India,Global,IND,2020-01-12 00:00:00,14385,21397,193,24.33,20.5937,78.9629,0.9,6819,12
India,Global,IND,2020-01-13 00:00:00,16204,24164,218,27.48,20.5937,78.9629,0.9,7742,13
India,Global,IND,2020-01-14 00:00:00,18158,27147,245,30.87,20.5937,78.9629,0.9,8744,14
India,Global,IND,2020-01-15 00:00:00,20184,30252,273,34.41,20.5937,78.9629,0.9,9795,15
India,Global,IND,2020-01-16 00:00:00,22361,33600,303,38.21,20.5937,78.9629,0.9,10936,16
India,Global,IND,2020-01-17 00:00:00,24673,37169,335,42.27,20.5937,78.9629,0.9,12161,17
India,Global,IND,2020-01-18 00:00:00,27176,41045,370,46.68,20.5937,78.9629,0.9,13499,18
India,Global,IND,2020-01-19 00:00:00,29801,45126,407,51.32,20.5937,78.9629,0.9,14918,19
India,Global,IND,2020-01-20 00:00:00,32566,49439,446,56.23,20.5937,78.9629,0.9,16427,20
India,Global,IND,2020-01-21 00:00:00,35516,54057,487,61.48,20.5937,78.9629,0.9,18054,21
India,Global,IND,2020-01-22 00:00:00,38605,58911,531,67.0,20.5937,78.9629,0.9,19775,22
India,Global,IND,2020-01-23 00:00:00,41859,64042,577,72.83,20.5937,78.9629,0.9,21606,23
India,Global,IND,2020-01-24 00:00:00,45251,69412,626,78.94,20.5937,78.9629,0.9,23535,24
India,Global,IND,2020-01-25 00:00:00,48864,75149,677,85.47,20.5937,78.9629,0.9,25608,25
India,Global,IND,2020-01-26 00:00:00,52694,81252,732,92.41,20.5937,78.9629,0.9,27826,26
India,Global,IND,2020-01-27 00:00:00,56683,87634,790,99.67,20.5937,78.9629,0.9,30161,27
India,Global,IND,2020-01-28 00:00:00,60800,94245,849,107.18,20.5937,78.9629,0.9,32596,28
India,Global,IND,2020-01-29 00:00:00,65206,101341,913,115.25,20.5937,78.9629,0.9,35222,29
India,Global,IND,2020-01-30 00:00:00,69693,108602,979,123.51,20.5937,78.9629,0.9,37930,30
India,Global,IND,2020-01-31 00:00:00,74528,116444,1049,132.43,20.5937,78.9629,0.9,40867,31
India,Global,IND,2020-02-01 00:00:00,79630,124747,1124,141.87,20.5937,78.9629,0.9,43993,32
India,Global,IND,2020-02-02 00:00:00,84949,133436,1203,151.76,20.5937,78.9629,0.9,47284,33
India,Global,IND,2020-02-03 00:00:00,90390,142362,1283,161.91,20.5937,78.9629,0.9,50689,34
India,Global,IND,2020-02-04 00:00:00,96135,151815,1368,172.66,20.5937,78.9629,0.9,54312,35
India,Global,IND,2020-02-05 00:00:00,101983,161483,1455,183.65,20.5937,78.9629,0.9,58045,36
India,Global,IND,2020-02-06 00:00:00,108104,171639,1547,195.2,20.5937,78.9629,0.9,61988,37
India,Global,IND,2020-02-07 00:00:00,114419,182156,1642,207.16,20.5937,78.9629,0.9,66095,38
India,Global,IND,2020-02-08 00:00:00,121028,193199,1741,219.72,20.5937,78.9629,0.9,70430,39
India,Global,IND,2020-02-09 00:00:00,127940,204790,1846,232.91,20.5937,78.9629,0.9,75004,40
India,Global,IND,2020-02-10 00:00:00,135016,216704,1953,246.46,20.5937,78.9629,0.9,79735,41
India,Global,IND,2020-02-11 00:00:00,142428,229226,2066,260.7,20.5937,78.9629,0.9,84732,42
India,Global,IND,2020-02-12 00:00:00,149927,241956,2180,275.17,20.5937,78.9629,0.9,89849,43
India,Global,IND,2020-02-13 00:00:00,157769,255311,2301,290.36,20.5937,78.9629,0.9,95241,44
India,Global,IND,2020-02-14 00:00:00,165684,268859,2423,305.77,20.5937,78.9629,0.9,100752,45
India,Global,IND,2020-02-15 00:00:00,173773,282765,2548,321.59,20.5937,78.9629,0.9,106444,46
India,Global,IND,2020-02-16 00:00:00,182294,297453,2681,338.29,20.5937,78.9629,0.9,112478,47
India,Global,IND,2020-02-17 00:00:00,190979,312490,2816,355.39,20.5937,78.9629,0.9,118695,48
India,Global,IND,2020-02-18 00:00:00,199934,328053,2956,373.09,20.5937,78.9629,0.9,125163,49
India,Global,IND,2020-02-19 00:00:00,209007,343899,3099,391.11,20.5937,78.9629,0.9,131793,50
India,Global,IND,2020-02-20 00:00:00,218297,360193,3246,409.64,20.5937,78.9629,0.9,138650,51
India,Global,IND,2020-02-21 00:00:00,227671,376715,3395,428.43,20.5937,78.9629,0.9,145649,52
India,Global,IND,2020-02-22 00:00:00,237369,393870,3550,447.95,20.5937,78.9629,0.9,152951,53
India,Global,IND,2020-02-23 00:00:00,247143,411246,3706,467.71,20.5937,78.9629,0.9,160397,54
India,Global,IND,2020-02-24 00:00:00,257067,428973,3866,487.87,20.5937,78.9629,0.9,168040,55
India,Global,IND,2020-02-25 00:00:00,267338,447380,4032,508.8,20.5937,78.9629,0.9,176010,56
India,Global,IND,2020-02-26 00:00:00,277669,465993,4199,529.97,20.5937,78.9629,0.9,184125,57
India,Global,IND,2020-02-27 00:00:00,288045,484789,4369,551.35,20.5937,78.9629,0.9,192375,58
India,Global,IND,2020-02-28 00:00:00,298773,504286,4545,573.52,20.5937,78.9629,0.9,200968,59
India,Global,IND,2020-02-29 00:00:00,309474,523850,4721,595.77,20.5937,78.9629,0.9,209655,60
India,Global,IND,2020-03-01 00:00:00,320393,543896,4902,618.57,20.5937,78.9629,0.9,218601,61
India,Global,IND,2020-03-02 00:00:00,331351,564126,5084,641.58,20.5937,78.9629,0.9,227691,62
India,Global,IND,2020-03-03 00:00:00,342365,584567,5268,664.82,20.5937,78.9629,0.9,236934,63
India,Global,IND,2020-03-04 00:00:00,353201,604823,5451,687.86,20.5937,78.9629,0.9,246171,64
India,Global,IND,2020-03-05 00:00:00,364414,625844,5640,711.77,20.5937,78.9629,0.9,255790,65
India,Global,IND,2020-03-06 00:00:00,375422,646636,5827,735.41,20.5937,78.9629,0.9,265387,66
India,Global,IND,2020-03-07 00:00:00,386676,667975,6020,759.68,20.5937,78.9629,0.9,275279,67
India,Global,IND,2020-03-08 00:00:00,397791,689198,6211,783.82,20.5937,78.9629,0.9,285196,68
India,Global,IND,2020-03-09 00:00:00,409038,710775,6405,808.36,20.5937,78.9629,0.9,295332,69
India,Global,IND,2020-03-10 00:00:00,420404,732688,6603,833.28,20.5937,78.9629,0.9,305681,70
India,Global,IND,2020-03-11 00:00:00,431662,754543,6800,858.14,20.5937,78.9629,0.9,316081,71
India,Global,IND,2020-03-12 00:00:00,442836,776381,6997,882.97,20.5937,78.9629,0.9,326548,72
India,Global,IND,2020-03-13 00:00:00,453876,798111,7192,907.68,20.5937,78.9629,0.9,337043,73
India,Global,IND,2020-03-14 00:00:00,465039,820191,7391,932.8,20.5937,78.9629,0.9,347761,74
India,Global,IND,2020-03-15 00:00:00,476027,842094,7589,957.71,20.5937,78.9629,0.9,358478,75
India,Global,IND,2020-03-16 00:00:00,486845,863827,7785,982.42,20.5937,78.9629,0.9,369197,76
India,Global,IND,2020-03-17 00:00:00,497503,885407,7979,1006.97,20.5937,78.9629,0.9,379925,77
India,Global,IND,2020-03-18 00:00:00,508135,907069,8174,1031.6,20.5937,78.9629,0.9,390760,78
India,Global,IND,2020-03-19 00:00:00,518682,928713,8369,1056.22,20.5937,78.9629,0.9,401662,79
India,Global,IND,2020-03-20 00:00:00,528944,949978,8561,1080.4,20.5937,78.9629,0.9,412473,80
India,Global,IND,2020-03-21 00:00:00,539101,971181,8752,1104.52,20.5937,78.9629,0.9,423328,81
India,Global,IND,2020-03-22 00:00:00,549252,992506,8944,1128.77,20.5937,78.9629,0.9,434310,82
India,Global,IND,2020-03-23 00:00:00,558969,1013175,9131,1152.28,20.5937,78.9629,0.9,445075,83
India,Global,IND,2020-03-24 00:00:00,568546,1033717,9316,1175.64,20.5937,78.9629,0.9,455855,84
India,Global,IND,2020-03-25 00:00:00,577934,1054042,9499,1198.75,20.5937,78.9629,0.9,466609,85
India,Global,IND,2020-03-26 00:00:00,587301,1074453,9683,1221.97,20.5937,78.9629,0.9,477469,86
India,Global,IND,2020-03-27 00:00:00,596344,1094398,9863,1244.65,20.5937,78.9629,0.9,488191,87
India,Global,IND,2020-03-28 00:00:00,605183,1114092,10040,1267.05,20.5937,78.9629,0.9,498869,88
India,Global,IND,2020-03-29 00:00:00,613750,1133407,10214,1289.01,20.5937,78.9629,0.9,509443,89
India,Global,IND,2020-03-30 00:00:00,622089,1152421,10385,1310.64,20.5937,78.9629,0.9,519947,90
India,Global,IND,2020-03-31 00:00:00,630173,1171084,10554,1331.86,20.5937,78.9629,0.9,530357,91
India,Global,IND,2020-04-01 00:00:00,637954,1189298,10718,1352.58,20.5937,78.9629,0.9,540626,92
India,Global,IND,2020-04-02 00:00:00,645564,1207307,10880,1373.06,20.5937,78.9629,0.9,550863,93
India,Global,IND,2020-04-03 00:00:00,652891,1224901,11039,1393.07,20.5937,78.9629,0.9,560971,94
India,Global,IND,2020-04-04 00:00:00,659854,1241922,11192,1412.43,20.5937,78.9629,0.9,570876,95
India,Global,IND,2020-04-05 00:00:00,666603,1258648,11343,1431.45,20.5937,78.9629,0.9,580702,96
India,Global,IND,2020-04-06 00:00:00,673159,1275116,11491,1450.18,20.5937,78.9629,0.9,590466,97
India,Global,IND,2020-04-07 00:00:00,679328,1290956,11634,1468.19,20.5937,78.9629,0.9,599994,98
India,Global,IND,2020-04-08 00:00:00,685266,1306457,11774,1485.82,20.5937,78.9629,0.9,609417,99
India,Global,IND,2020-04-09 00:00:00,690914,1321505,11909,1502.94,20.5937,78.9629,0.9,618682,100
India,Global,IND,2020-04-10 00:00:00,696317,1336180,12041,1519.63,20.5937,78.9629,0.9,627822,101
India,Global,IND,2020-04-11 00:00:00,701452,1350436,12170,1535.84,20.5937,78.9629,0.9,636814,102
India,Global,IND,2020-04-12 00:00:00,706207,1364051,12293,1551.32,20.5937,78.9629,0.9,645551,103
India,Global,IND,2020-04-13 00:00:00,710749,1377341,12412,1566.44,20.5937,78.9629,0.9,654180,104
India,Global,IND,2020-04-14 00:00:00,715063,1390278,12529,1581.15,20.5937,78.9629,0.9,662686,105
India,Global,IND,2020-04-15 00:00:00,719122,1402804,12642,1595.4,20.5937,78.9629,0.9,671040,106
India,Global,IND,2020-04-16 00:00:00,722748,1414564,12748,1608.77,20.5937,78.9629,0.9,679068,107
India,Global,IND,2020-04-17 00:00:00,726166,1425995,12851,1621.77,20.5937,78.9629,0.9,686978,108
India,Global,IND,2020-04-18 00:00:00,729362,1437066,12951,1634.36,20.5937,78.9629,0.9,694753,109
India,Global,IND,2020-04-19 00:00:00,732376,1447849,13048,1646.63,20.5937,78.9629,0.9,702425,110
India,Global,IND,2020-04-20 00:00:00,735072,1458074,13140,1658.26,20.5937,78.9629,0.9,709862,111
